Videojuego,Genero,Precio_Lanzamiento_USD,Ventas_NA_Millones,Ventas_Europa_Millones,Ventas_Globales_Millones
Halo 3,Deportes,49.99,6.85,4.2,10
The Sims 3,Acción,89.99,2.51,5.49,9.37
Monster Hunter Rise,Carreras,49.99,2.2,5.42,14.69
Final Fantasy X,Carreras,59.99,6.82,5.44,10
The Sims 3,RPG,49.99,5.38,3.91,8.05
Final Fantasy X,RPG,39.99,6.43,2.8,8.85
Super Mario Galaxy,Plataformas,49.99,4.46,7.57,20.32
Mario Kart 8 Deluxe,RPG,59.99,2.2,1.5,37.38
Red Dead Redemption 2,Deportes,59.99,9.81,4.5,20
Duck Hunt,Party,34.99,2.8,2.65,13.53
Street Fighter II,Plataformas,39.99,3.5,2.1,17.67
Final Fantasy XII,Carreras,34.99,3.34,2,13.4
Monster Hunter Rise,Deportes,39.99,5,5.42,14.82
The Last of Us Part II,Deportes,59.99,4.47,4,12.78
Super Smash Bros. Melee,Carreras,49.99,4.5,5.42,10
FIFA 21,Puzzle,19.99,9.77,3.91,11.66
Gran Turismo,Deportes,34.99,4.22,4.28,6
The Legend of Zelda: Breath of the Wild,Carreras,59.99,1.2,9.27,82.74
Mario Kart DS,Deportes,89.99,2.1,1.53,20
Tekken 7,Deportes,49.99,2.1,3.91,10
Need for Speed Carbon,Horror,49.99,26.93,5.1,8.15
Resident Evil 6,Deportes,49.99,4.2,5.42,9.31
The Sims 2,Carreras,49.99,9,3.1,9.31
The Sims 2,Shooter,24.99,6.85,4.88,8.3
Super Smash Bros. Brawl,Carreras,49.99,2.1,7.06,10
Red Dead Redemption,RPG,49.99,1.88,1.2,46.45
Nintendogs,Lucha,19.99,1.5,3.68,10.65
Wii Sports,Party,59.99,5.57,2.4,25
Grand Theft Auto: Vice City,Simulación,34.99,4.47,1.91,10.65
The Legend of Zelda: Twilight Princess,RPG,59.99,5.17,4.52,6
Street Fighter II,Shooter,49.99,4.34,3.48,18.98
The Legend of Zelda: Tears of the Kingdom,Acción,24.99,3.75,3.91,26
Mario Kart Wii,Shooter,49.99,5,4.1,14.69
Grand Theft Auto III,Aventura,49.99,1.7,3.63,36.44
Portal 2,Deportes,49.99,7.25,5.42,14.69
The Witcher 3,Carreras,59.99,6.42,1.53,13.3
Super Mario Galaxy,Lucha,49.99,9.43,1.35,20
Super Smash Bros. Ultimate,Deportes,34.99,3.8,4.52,29.02
Resident Evil Village,RPG,49.99,4.2,5.26,17.33
FIFA 20,Carreras,49.99,3.5,4.5,13.4
Need for Speed Underground,Simulación,59.99,9.77,3.02,17.33
Final Fantasy VII,RPG,59.99,6.43,8.03,10.65
Super Mario Odyssey,Plataformas,59.99,2.8,1.35,23
Final Fantasy VII,Simulación,59.99,1.87,1.63,14.82
Pokemon Ruby/Sapphire,Carreras,59.99,14.03,4.3,22.72
Pokemon Black/White,Plataformas,59.99,3.54,1.8,10.02
Gran Turismo 5,Shooter,39.99,15.75,2,13.4
Gran Turismo 2,RPG,39.99,9,9.2,13.2
Gran Turismo 3,Carreras,59.99,1.88,3.26,14
Super Mario Galaxy 2,Aventura,49.99,9.81,1.56,22.72
Mario Kart 8,Lucha,39.99,2.51,5.1,7.6
Super Mario Bros.,Plataformas,59.99,6.85,5.26,16.5
Gran Turismo 5,Shooter,49.99,1.88,2.9,8.5
Gran Turismo 2,Acción,49.99,5.38,3.38,10
FIFA 20,Acción,59.99,9.07,6.95,24.24
Red Dead Redemption,Shooter,59.99,4.56,0.63,10.6
Halo 3,Deportes,39.99,1.5,5.26,31.38
Wii Play,Plataformas,59.99,3.2,1.12,10.65
Grand Theft Auto: San Andreas,Deportes,59.99,4,3.63,21
Pokemon Sun/Moon,Lucha,49.99,9.44,1.63,15
Super Mario Galaxy,Simulación,59.99,4.5,1.2,8.3
Super Mario 64,Simulación,59.99,4.22,2.85,9.37
Super Mario Odyssey,Acción,39.99,9.09,4.6,12
Tekken 3,Deportes,59.99,3.5,2,10.85
Wii Fit Plus,Carreras,59.99,5.17,2.1,30.01
Pokemon Sun/Moon,Deportes,49.99,1.8,3.1,28.62
Mario Kart 7,Simulación,49.99,6.91,4.29,10
Pokemon Diamond/Pearl,Carreras,49.99,4.12,1.54,33
Resident Evil 5,Plataformas,49.99,3.5,6.2,12.78
Pokemon Red/Blue,RPG,49.99,7.97,4.32,40.24
Pokemon Sun/Moon,Carreras,49.99,5.57,3.5,17.67
Mario Kart Wii,Plataformas,49.99,3.81,2.4,11.66
NBA 2K16,Simulación,34.99,14.03,2.4,17.28
Monster Hunter World,Acción,59.99,7.97,9.2,12.14
Call of Duty: Modern Warfare 3,Shooter,49.99,6.91,3.2,25
Grand Theft Auto: San Andreas,Shooter,69.99,4.5,4.6,28.62
Nintendogs,Carreras,59.99,9.77,3.8,29.02
Halo: Combat Evolved,RPG,49.99,1.7,1.53,10.65
Street Fighter IV,RPG,49.99,3.56,3.2,12.13
Gran Turismo 3,RPG,39.99,7.01,3.1,26.74
Need for Speed Underground,Carreras,59.99,9.43,4.32,8.15
Pokemon Black/White,Deportes,49.99,3.1,5.1,33
Call of Duty: Ghosts,Aventura,49.99,8.27,4.3,13.2
Halo: Combat Evolved,Deportes,59.99,6.42,3.2,29.02
Grand Theft Auto: Vice City,Plataformas,59.99,3.01,11.01,10
Portal 2,Deportes,39.99,5.17,3.5,20.61
Grand Theft Auto V,Carreras,69.99,3.56,5.42,11
Halo: Combat Evolved,Deportes,59.99,9.3,3.9,13.1
The Last of Us,RPG,49.99,5.57,3.2,20.32
